<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FB.US,5,20200824,154000,276.76,277.248,275.36,275.79,504401,0
FB.US,5,20200824,154500,275.913,277.19,275.62,276.49,499965,0
FB.US,5,20200824,155000,276.51,276.82,272.6,272.63,586909,0
FB.US,5,20200824,155500,272.661,274.06,271.79,272.881,567742,0
FB.US,5,20200824,160000,272.835,272.99,271.73,272.073,311861,0
FB.US,5,20200824,160500,272.12,272.46,271.12,271.76,290264,0
FB.US,5,20200824,161000,271.76,272.9,271.45,272.49,401186,0
FB.US,5,20200824,161500,272.59,273.92,272.35,273.82,328136,0
FB.US,5,20200824,162000,273.77,274.2,273.42,273.81,319041,0
FB.US,5,20200824,162500,273.805,273.91,272.6,272.77,247964,0
FB.US,5,20200824,163000,272.77,272.86,271.28,271.68,263102,0
FB.US,5,20200824,163500,271.75,272.7,271.36,272.59,194040,0
FB.US,5,20200824,164000,272.615,272.8,271.75,272.134,159256,0
FB.US,5,20200824,164500,272.18,272.19,270.322,271.041,267390,0
FB.US,5,20200824,165000,271.21,271.21,269.43,269.955,288976,0
FB.US,5,20200824,165500,269.955,270.47,269.17,269.52,204421,0
FB.US,5,20200824,170000,269.55,270.89,269.12,270.483,270243,0
FB.US,5,20200824,170500,270.468,271.14,270,270.97,166545,0
FB.US,5,20200824,171000,270.94,271.48,270.64,271.325,239663,0
FB.US,5,20200824,171500,271.29,271.59,270.97,271.362,111907,0
FB.US,5,20200824,172000,271.35,271.44,270.83,271.05,197043,0
FB.US,5,20200824,172500,271.1,271.11,269.68,269.845,199247,0
FB.US,5,20200824,173000,269.89,270.64,269.5,269.641,143864,0
FB.US,5,20200824,173500,269.7,270.29,269.55,270.22,240059,0
FB.US,5,20200824,174000,270.16,270.37,270,270.26,267917,0
FB.US,5,20200824,174500,270.26,270.36,270.04,270.17,269294,0
FB.US,5,20200824,175000,270.17,270.25,269.8,270.09,125576,0
FB.US,5,20200824,175500,270.11,270.9,269.98,270.69,236026,0
FB.US,5,20200824,180000,270.68,271.17,270.512,270.579,235660,0
FB.US,5,20200824,180500,270.62,270.75,270.31,270.52,181038,0
FB.US,5,20200824,181000,270.51,270.64,270.33,270.465,78145,0
FB.US,5,20200824,181500,270.42,270.57,270.34,270.455,101836,0
FB.US,5,20200824,182000,270.465,270.55,270.11,270.24,93351,0
FB.US,5,20200824,182500,270.26,270.352,269.85,270.22,84332,0
FB.US,5,20200824,183000,270.21,270.43,270.03,270.09,93407,0
FB.US,5,20200824,183500,270.165,270.22,269.82,270.04,73232,0
FB.US,5,20200824,184000,270.055,270.2,269.5,269.86,119974,0
FB.US,5,20200824,184500,269.888,270.208,269.85,270.12,74373,0
FB.US,5,20200824,185000,270.11,270.34,269.93,270.09,127008,0
FB.US,5,20200824,185500,270.11,270.19,269.96,270.03,71800,0
FB.US,5,20200824,190000,270,270.29,269.87,270.12,82603,0
FB.US,5,20200824,190500,270.18,271.52,270.13,271.45,321057,0
FB.US,5,20200824,191000,271.455,271.52,270.31,270.378,325181,0
FB.US,5,20200824,191500,270.37,270.632,270.02,270.15,119638,0
FB.US,5,20200824,192000,270.211,270.392,269.85,270.12,102447,0
FB.US,5,20200824,192500,270.14,270.26,269.93,270.005,52635,0
